ts,temp,hum,press,lux,co2
1772722498,24.98932,34.32059,1009.03,36.339802,459.0
1772723605,25.1442,37.95834,1008.888,35.316151,515.0
1772723905,25.11215,37.81796,1008.786,33.177876,511.0
1772724207,25.20028,38.10025,1008.745,36.970364,522.0
1772724672,25.21363,37.68673,1008.788,33.271824,527.0
1772725846,25.26436,36.59724,1008.686,27.167065,518.0
1772726146,25.29107,37.17708,1008.689,25.920046,521.0
1772726448,25.27771,38.42832,1008.792,21.682068,536.0
1772726748,25.29107,38.73503,1008.772,22.406475,547.0
1772727048,25.19226,39.57275,1008.784,16.76259,556.0
1772727348,25.21897,40.19379,1008.761,17.44277,567.0
1772727648,25.22965,40.69429,1008.889,16.152182,580.0
1772727948,25.21363,40.94453,1009.041,13.854883,584.0
1772728248,25.20562,41.22835,1009.066,11.808008,581.0
1772728548,25.26703,40.32807,1009.001,10.043515,572.0
1772728848,25.28305,41.25277,1009.044,9.60012,578.0
1772729148,25.21096,41.8616,1009.132,8.905474,595.0
1772729448,25.30175,41.87686,1009.159,8.054507,592.0
1772729748,25.43259,41.89365,1009.207,7.706522,595.0
1772730048,25.27771,42.09506,1009.227,6.624844,595.0
1772730348,25.2163,41.93484,1009.288,5.801172,596.0
1772730648,25.28572,41.68307,1009.345,5.327117,593.0
1772730948,25.13085,40.81025,1009.484,4.991733,570.0
1772731248,25.19226,41.30159,1009.587,4.379735,568.0
1772731548,25.18692,41.41756,1009.563,3.682163,591.0
1772731848,25.30709,40.55695,1009.539,3.02579,582.0
1772732148,25.28572,41.84634,1009.641,2.348854,592.0
1772732448,25.22965,41.50149,1009.711,1.878429,577.0
1772732748,25.21363,41.89059,1009.723,7.565956,593.0
1772733048,25.12818,40.26398,1009.834,7.122533,554.0
1772733348,25.09613,41.13832,1009.941,10.308654,571.0
1772733648,25.01869,38.7747,1009.919,11.49408,536.0
1772733948,24.76768,37.69436,1009.928,10.443399,554.0
1772734248,24.77035,39.57427,1010.036,10.443399,561.0
1772734548,24.6849,40.589,1010.136,10.131259,571.0
1772734848,24.79705,40.82704,1010.166,10.175367,563.0
1772735148,24.69825,40.1709,1010.186,9.970879,564.0
1772735448,24.58877,39.18212,1010.223,10.458461,551.0
1772735748,24.53536,40.07172,1010.245,11.477758,558.0
1772736048,24.48997,39.14244,1010.367,11.203337,549.0
1772736348,24.34844,39.07225,1010.53,10.308654,536.0
1772736648,24.14015,38.99443,1010.599,11.380253,539.0
1772736948,23.95857,39.05547,1010.627,10.934546,545.0
1772737248,23.8304,39.22179,1010.668,11.028779,559.0
1772737548,23.83841,39.82605,1010.708,11.380253,579.0
1772737848,23.48325,39.67346,1010.804,11.267397,533.0
1772738148,23.36042,39.96338,1010.947,11.477758,537.0
1772738448,23.44053,40.52033,1011.009,10.443399,586.0
1772738748,23.44854,40.96742,1010.995,10.458461,560.0
1772739048,23.50996,40.83314,1010.979,6.656495,605.0
1772739348,23.48325,40.62715,1010.99,6.709491,621.0
1772739648,23.44053,40.74769,1011.014,6.55142,604.0
1772739948,23.4966,40.72023,1011.093,6.593303,607.0
1772740248,23.43252,40.96437,1011.084,6.603805,624.0
1772740548,23.44053,40.91859,1011.13,6.520137,601.0
1772740848,23.32303,40.98421,1011.249,6.892011,609.0
1772741148,23.37644,41.561,1011.265,6.773497,611.0
1772741448,23.21622,41.79293,1011.337,6.805667,607.0
1772741748,23.15213,42.26139,1011.256,6.509733,609.0
1772742048,23.09339,43.06859,1011.264,6.603805,623.0
1772742348,23.06401,43.26085,1011.287,6.881174,622.0
1772742648,23.01862,43.71405,1011.352,6.572337,620.0
1772742948,23.01328,44.05432,1011.287,6.635381,625.0
1772743248,22.94919,44.25269,1011.27,6.55142,606.0
1772743548,22.95186,44.48005,1011.314,6.656495,616.0
1772743848,22.90112,44.57923,1011.325,6.509733,610.0
1772744148,22.7142,45.07362,1011.366,6.468239,614.0
1772744448,22.72221,45.45968,1011.389,6.593303,618.0
1772744748,22.68482,45.14687,1011.46,6.55142,610.0
1772745048,22.6154,45.72366,1011.439,6.624844,623.0
1772745348,22.52728,45.85946,1011.42,6.614319,617.0
1772745648,22.48455,46.08377,1011.449,6.614319,625.0
1772745948,22.04395,46.6392,1011.481,6.314347,615.0
1772746248,21.53658,47.75463,1011.457,6.603805,600.0
1772746548,21.60334,48.21088,1011.462,9.011668,613.0
1772746848,22.57534,47.2755,1011.54,6.837954,666.0
1772747148,22.92782,46.8101,1011.513,6.603805,687.0
1772747448,23.1548,46.3859,1011.549,6.437246,683.0
1772747748,23.25628,46.11734,1011.48,6.063755,675.0
1772748048,23.32837,46.0441,1011.523,6.603805,671.0
1772748348,23.41916,45.8793,1011.478,6.344911,674.0
1772748648,23.5153,45.83352,1011.484,6.509733,710.0
1772748948,23.57405,45.98154,1011.396,6.624844,748.0
1772749248,23.65682,45.77859,1011.447,7.078187,777.0
1772749548,23.74228,45.74655,1011.376,6.645933,796.0
1772749848,23.7396,45.68704,1011.336,6.437246,815.0
1772750148,23.72358,45.79232,1011.452,6.957298,835.0
1772750448,23.65949,45.9205,1011.454,6.762797,842.0
1772750756,23.70222,45.83505,1011.423,7.565956,852.0
1772751056,23.69421,45.75265,1011.376,7.415893,858.0
1772751356,23.71824,45.80453,1011.457,7.111428,873.0
1772751656,23.76631,45.76181,1011.46,6.773497,880.0
1772751956,23.72358,45.6611,1011.399,7.381587,884.0
